"","","SKU-DON Industries Ltd.","","","","","","","","","","","","Page  1"
"","","","","","","","---------------------- Functional Currency -----------------","","","","","","",""
"#","Product Description","Customer Name","Column1","Year","Prd.","Quantity","Revenue","Count","Column2","Count3","Costs","Margin","Column4",""
"1","Lobster - Baby, Boiled","Stanton, Predovic and Larson","null","2019","2","1.0000","16.00","1","0","12.00","4.00","null","25.00000",""
"2","Tea - Herbal Orange Spice","Stanton, Predovic and Larson","null","null","null","null","null","null","null","null","null","null","null",""
"3","Cookies - Assorted","Stanton, Predovic and Larson","null","null","null","null","null","null","null","null","null","null","null",""
"4","Cookies - Assorted","Stanton, Predovic and Larson","null","2019","5","0.6000","0.00","1","0","7.29","-7.29","null","0.00000",""
"5","Juice - V8 Splash","Stanton, Predovic and Larson","null","null","null","null","null","null","null","null","null","null","null",""
"6","Raspberries - Frozen","Stanton, Predovic and Larson","null","null","null","null","null","null","null","null","null","null","null",""
"7","null","null","Customer Total:","null","null","null","16.00","null","null","206.67","null","null","null",""
"8","White (Bianco)Truffle Oil 250 ml","Stanton, Predovic and Larson","null","null","null","null","null","null","null","null","null","null","null",""
"9","White (Bianco)Truffle Oil 250 ml","Predovic, Pollich and Gislason","null","null","null","null","null","null","null","null","null","null","null",""
"10","Butter - Salted, Micro","Predovic, Pollich and Gislason","null","null","null","null","null","null","null","null","null","null","null",""
"11","Butter - Salted, Micro","Predovic, Pollich and Gislason","null","2019","1","-132.0000","1,980.00","1","2","-867.89","-1,112.11","null","56.16717",""
"12","Fresh Chanterelle 1lb","Predovic, Pollich and Gislason","null","null","null","null","null","null","null","null","null","null","null",""
"13","Fresh Chanterelle 1lb","Predovic, Pollich and Gislason","null","null","null","null","null","null","null","null","null","null","null",""
"14","Flour - Corn, Fine","Predovic, Pollich and Gislason","null","null","null","null","null","null","null","null","null","null","null",""
"15","Flour - Corn, Fine","Predovic, Pollich and Gislason","null","2019","1","0.0000","3,675.00","3","3","-6,316.24","6,316.24","null","0.00000",""
"16","Fresh Matsutake 1kg","Predovic, Pollich and Gislason","null","null","null","null","null","null","null","null","null","null","null",""
"17","Fresh Matsutake 1kg","Predovic, Pollich and Gislason","null","null","null","null","null","null","null","null","null","null","null",""
"18","Sprouts - Onion","Predovic, Pollich and Gislason","null","null","null","null","null","null","null","null","null","null","null",""
"19","Sprouts - Onion","Predovic, Pollich and Gislason","null","2019","2","0.0000","0.00","0","3","0.00","0.00","null","0.00000",""
"20","Dried Morel (#1) 1kg","Predovic, Pollich and Gislason","null","null","null","null","null","null","null","null","null","null","null",""
"21","Dried Morel (#1) 1kg","Predovic, Pollich and Gislason","null","null","null","null","null","null","null","null","null","null","null",""
"22","Dried Morel (#1) 1kg","Predovic, Pollich and Gislason","null","null","null","null","null","null","null","null","null","null","null",""
"23","null","null","Customer Total:","null","null","null","5,655.00","null","null","-7,184.13","null","null","null",""
"24","Dried Morel (#1) 1kg","Predovic, Pollich and Gislason","null","null","null","null","null","null","null","null","null","null","null",""
"25","Dried Morel (#1) 1kg","Willms, Predovic and Rippin","null","null","null","null","null","null","null","null","null","null","null",""
"26","Octopus","Willms, Predovic and Rippin","null","null","null","null","null","null","null","null","null","null","null",""
"27","Octopus","Willms, Predovic and Rippin","null","2019","1","2.0000","37.00","2","0","32.89","4.11","null","11.10811",""
"28","Veal - Ground","Willms, Predovic and Rippin","null","null","null","null","null","null","null","null","null","null","null",""
"29","Veal - Ground","Willms, Predovic and Rippin","null","null","null","null","null","null","null","null","null","null","null",""
"30","Veal - Ground","Willms, Predovic and Rippin","null","2019","2","1.0000","22.50","1","0","16.47","6.03","null","26.80000",""
"31","Veal - Ground","Willms, Predovic and Rippin","null","null","null","null","null","null","null","null","null","null","null",""
"32","Veal - Ground","Willms, Predovic and Rippin","null","2019","4","2.0000","45.00","2","0","33.48","11.52","null","25.60000",""
"33","Veal - Ground","Willms, Predovic and Rippin","null","2019","5","3.0000","67.50","2","0","50.01","17.49","null","25.91111",""
"34","Veal - Ground","Willms, Predovic and Rippin","null","2019","6","1.0000","22.50","1","0","16.59","5.91","null","26.26667",""
"35","Tomatoes - Heirloom","Willms, Predovic and Rippin","null","null","null","null","null","null","null","null","null","null","null",""
"36","Tomatoes - Heirloom","Willms, Predovic and Rippin","null","2019","1","3.0000","36.90","3","0","28.43","8.47","null","22.95393",""
"37","Wine - Red, Metus Rose","Willms, Predovic and Rippin","null","null","null","null","null","null","null","null","null","null","null",""
"38","Wine - Red, Metus Rose","Willms, Predovic and Rippin","null","null","null","null","null","null","null","null","null","null","null",""
"39","Wine - Red, Metus Rose","Willms, Predovic and Rippin","null","2019","2","8.0000","112.00","6","0","76.48","35.52","null","31.71429",""
"40","Wine - Red, Metus Rose","Willms, Predovic and Rippin","null","null","null","null","null","null","null","null","null","null","null",""
"41","Wine - Red, Metus Rose","Willms, Predovic and Rippin","null","2019","3","3.0000","42.00","3","0","28.81","13.19","null","31.40476",""
"42","Wine - Red, Metus Rose","Willms, Predovic and Rippin","null","2019","4","3.0000","42.00","3","0","28.83","13.17","null","31.35714",""
"43","Wine - Red, Metus Rose","Willms, Predovic and Rippin","null","2019","5","1.0000","28.00","2","1","9.66","15.84","null","62.11765",""
"44","Wine - Red, Metus Rose","Willms, Predovic and Rippin","null","2019","6","1.0000","14.00","1","0","9.65","4.35","null","31.07143",""
"45","Soup - Campbells, Creamy","Willms, Predovic and Rippin","null","null","null","null","null","null","null","null","null","null","null",""
"46","Soup - Campbells, Creamy","Willms, Predovic and Rippin","null","2019","1","1.0000","16.00","1","0","11.01","4.99","null","31.18750",""
"47","Juice - V8, Tomato","Willms, Predovic and Rippin","null","null","null","null","null","null","null","null","null","null","null",""
"48","Juice - V8, Tomato","Willms, Predovic and Rippin","null","null","null","null","null","null","null","null","null","null","null",""
"49","Juice - V8, Tomato","Willms, Predovic and Rippin","null","2019","2","4.0000","77.00","1","0","44.00","33.00","null","42.85714",""
"50","Juice - V8, Tomato","Willms, Predovic and Rippin","null","null","null","null","null","null","null","null","null","null","null",""
"51","Juice - V8, Tomato","Willms, Predovic and Rippin","null","2019","4","1.0000","19.25","1","0","11.00","8.25","null","42.85714",""
"52","Kippers - Smoked","Willms, Predovic and Rippin","null","null","null","null","null","null","null","null","null","null","null",""
"53","Kippers - Smoked","Willms, Predovic and Rippin","null","2019","1","40.0000","746.50","9","1","580.00","146.00","null","20.11019",""
"54","Fresh Portabella - 5lbs","Willms, Predovic and Rippin","null","null","null","null","null","null","null","null","null","null","null",""
"55","Fresh Portabella - 5lbs","Willms, Predovic and Rippin","null","null","null","null","null","null","null","null","null","null","null",""
"56","Fresh Portabella - 5lbs","Willms, Predovic and Rippin","null","2019","2","7.0000","154.00","2","0","102.63","51.37","null","33.35714",""
"57","Fresh Portabella - 5lbs","Willms, Predovic and Rippin","null","null","null","null","null","null","null","null","null","null","null",""
"58","Fresh Portabella - 5lbs","Willms, Predovic and Rippin","null","2019","3","16.0000","352.00","3","0","234.09","117.91","null","33.49716",""
"59","Fresh Portabella - 5lbs","Willms, Predovic and Rippin","null","2019","4","29.0000","638.00","7","0","421.36","216.64","null","33.95611",""
"60","Fresh Portabella - 5lbs","Willms, Predovic and Rippin","null","2019","5","12.0000","264.00","2","0","174.25","89.75","null","33.99621",""
"61","Fresh Portabella - 5lbs","Willms, Predovic and Rippin","null","2019","6","12.0000","264.00","3","0","176.02","87.98","null","33.32576",""
"62","Lamb - Leg, Boneless","Willms, Predovic and Rippin","null","null","null","null","null","null","null","null","null","null","null",""
